Values recorded at: 25-Nov-2012 19:44:13

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      11.915	      6.814	      0.000	      0.000	      0.015	      0.564	
      11.683	      6.885	      0.001	      0.000	      0.017	      0.549	
      11.577	      6.821	      0.001	      0.000	      0.015	      0.551	
      11.848	      6.818	      0.000	      0.000	      0.015	      0.559	
      11.620	      7.131	      0.001	      0.000	      0.017	      0.564	
      11.807	      6.848	      0.001	      0.000	      0.016	      0.564	
      11.651	      6.821	      0.001	      0.000	      0.017	      0.564	
      11.656	      6.791	      0.001	      0.000	      0.015	      0.556	
      11.784	      6.809	      0.001	      0.000	      0.016	      0.532	
      11.651	      6.640	      0.001	      0.000	      0.018	      0.599	
      11.350	      6.451	      0.001	      0.000	      0.015	      0.545	
      11.715	      6.894	      0.001	      0.000	      0.016	      0.568	
      11.397	      6.493	      0.001	      0.000	      0.018	      0.551	
      11.657	      6.936	      0.001	      0.000	      0.015	      0.541	
      11.689	      6.689	      0.001	      0.000	      0.016	      0.563	
      11.645	      6.856	      0.001	      0.000	      0.017	      0.672	
      11.728	      7.182	      0.001	      0.000	      0.016	      0.564	
      11.577	      6.832	      0.000	      0.000	      0.015	      0.554	
      11.640	      6.825	      0.001	      0.000	      0.015	      0.552	
      11.823	      7.054	      0.001	      0.000	      0.015	      0.554	
      11.645	      7.010	      0.001	      0.000	      0.016	      0.538	
      11.751	      7.189	      0.001	      0.000	      0.015	      0.556	
      11.670	      7.172	      0.001	      0.000	      0.015	      0.549	
      11.632	      6.842	      0.001	      0.000	      0.016	      0.562	
      11.615	      6.868	      0.001	      0.000	      0.016	      0.556	
      11.795	      6.796	      0.001	      0.000	      0.016	      0.562	
      11.637	      6.889	      0.001	      0.000	      0.016	      0.556	
      11.637	      6.779	      0.001	      0.001	      0.016	      0.555	
      11.657	      6.812	      0.001	      0.000	      0.018	      0.564	
      11.528	      6.808	      0.001	      0.000	      0.015	      0.547	
      11.534	      6.839	      0.001	      0.000	      0.015	      0.561	
      11.561	      6.870	      0.001	      0.000	      0.018	      0.573	
      11.691	      6.936	      0.001	      0.000	      0.015	      0.560	
      11.580	      6.820	      0.001	      0.000	      0.016	      0.579	
      11.726	      6.688	      0.001	      0.000	      0.016	      0.541	
      11.687	      6.908	      0.001	      0.000	      0.016	      0.591	
      11.602	      6.901	      0.001	      0.000	      0.016	      0.536	
      11.633	      6.863	      0.001	      0.000	      0.015	      0.570	
      11.746	      7.074	      0.001	      0.000	      0.018	      0.562	
      11.703	      6.785	      0.001	      0.000	      0.015	      0.548	
      11.586	      6.733	      0.001	      0.000	      0.018	      0.568	
      11.649	      6.746	      0.001	      0.000	      0.015	      0.547	
      11.649	      6.888	      0.001	      0.000	      0.016	      0.533	
      11.667	      7.269	      0.001	      0.000	      0.016	      0.567	
      11.655	      6.840	      0.001	      0.000	      0.015	      0.553	
      11.546	      6.616	      0.001	      0.000	      0.018	      0.545	
      11.713	      6.866	      0.001	      0.000	      0.016	      0.548	
      11.738	      6.969	      0.001	      0.000	      0.016	      0.561	
      11.631	      6.738	      0.001	      0.000	      0.015	      0.561	
      11.670	      6.835	      0.001	      0.000	      0.015	      0.550	
      11.667	      6.836	      0.001	      0.000	      0.016	      0.542	
      11.582	      6.747	      0.001	      0.000	      0.015	      0.552	
      11.794	      6.673	      0.001	      0.000	      0.016	      0.575	
      11.693	      6.755	      0.001	      0.000	      0.016	      0.556	
      11.820	      7.284	      0.001	      0.000	      0.032	      0.549	
      11.537	      6.683	      0.000	      0.000	      0.016	      0.549	
 
