Values recorded at: 30-Jan-2013 14:46:38

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      12.970	      0.911	      0.000	      0.000	      0.018	      0.346	
      14.071	      1.130	      0.001	      0.000	      0.017	      0.350	
      14.379	      0.963	      0.001	      0.000	      0.017	      0.309	
      14.465	      1.023	      0.001	      0.000	      0.020	      0.331	
      14.380	      0.872	      0.001	      0.000	      0.016	      0.313	
      14.542	      0.960	      0.001	      0.000	      0.017	      0.300	
      14.630	      0.930	      0.000	      0.000	      0.020	      0.341	
      14.316	      0.910	      0.000	      0.000	      0.018	      0.349	
      13.940	      0.976	      0.000	      0.000	      0.017	      0.329	
      14.877	      0.905	      0.000	      0.000	      0.017	      0.369	
      14.466	      0.903	      0.001	      0.000	      0.017	      0.314	
      14.576	      1.010	      0.000	      0.000	      0.017	      0.327	
      14.479	      0.896	      0.000	      0.000	      0.016	      0.357	
      14.276	      0.908	      0.000	      0.000	      0.017	      0.315	
      14.653	      0.933	      0.001	      0.000	      0.018	      0.322	
      13.023	      0.895	      0.000	      0.000	      0.016	      0.332	
      12.828	      0.896	      0.001	      0.000	      0.017	      0.329	
      13.469	      0.904	      0.001	      0.000	      0.016	      0.336	
      13.103	      0.902	      0.001	      0.000	      0.033	      0.437	
      14.343	      1.075	      0.001	      0.000	      0.016	      0.315	
      13.341	      0.912	      0.000	      0.000	      0.018	      0.353	
      13.277	      0.920	      0.001	      0.000	      0.017	      0.326	
      13.481	      0.970	      0.001	      0.000	      0.023	      0.460	
      13.316	      0.909	      0.001	      0.000	      0.018	      0.332	
      14.447	      0.906	      0.001	      0.000	      0.016	      0.347	
      14.396	      0.905	      0.001	      0.000	      0.016	      0.378	
      13.114	      0.907	      0.000	      0.000	      0.017	      0.324	
      12.860	      0.917	      0.000	      0.000	      0.017	      0.329	
      14.351	      0.950	      0.000	      0.000	      0.018	      0.337	
      13.309	      0.931	      0.001	      0.000	      0.016	      0.321	
      14.824	      1.047	      0.000	      0.000	      0.021	      0.364	
      12.948	      0.918	      0.001	      0.000	      0.018	      0.337	
      13.045	      0.947	      0.001	      0.000	      0.021	      0.337	
