Values recorded at: 05-Dec-2012 21:21:59

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      11.353	      1.402	      0.005	      6.376	      0.015	      0.441	
      10.775	      0.961	      0.005	      6.989	      0.021	      0.418	
      10.423	      0.802	      0.005	      5.932	      0.015	      0.452	
      11.208	      0.881	      0.005	      5.178	      0.022	      0.462	
      11.640	      0.776	      0.005	      4.453	      0.017	      0.413	
      10.724	      0.824	      0.005	      5.488	      0.029	      0.517	
      10.121	      0.795	      0.005	      4.864	      0.017	      0.454	
      11.606	      0.796	      0.006	      4.415	      0.016	      0.430	
      11.025	      0.809	      0.006	      4.616	      0.020	      0.502	
      10.077	      0.768	      0.006	      3.250	      0.017	      0.391	
      12.105	      0.776	      0.005	      3.647	      0.015	      0.434	
      10.116	      0.803	      0.004	      2.908	      0.028	      0.378	
      11.346	      0.739	      0.004	      3.120	      0.024	      0.513	
      10.916	      0.928	      0.004	      3.025	      0.017	      0.492	
      10.988	      0.908	      0.010	      2.715	      0.015	      0.428	
      11.451	      1.131	      0.009	      2.414	      0.017	      0.378	
      10.532	      0.776	      0.004	      2.081	      0.015	      0.430	
      11.565	      0.853	      0.005	      1.424	      0.017	      0.390	
      10.649	      0.777	      0.005	      1.223	      0.017	      0.401	
      10.807	      0.831	      0.004	      1.315	      0.018	      0.395	
      10.502	      0.868	      0.004	      0.955	      0.032	      0.414	
      10.080	      0.828	      0.005	      1.043	      0.018	      0.567	
      11.465	      0.942	      0.004	      0.655	      0.015	      0.378	
      10.957	      0.789	      0.004	      0.581	      0.015	      0.541	
      11.787	      0.880	      0.003	      0.485	      0.015	      0.487	
      11.699	      0.906	      0.003	      0.347	      0.015	      0.544	
      12.030	      1.101	      0.004	      0.345	      0.016	      0.551	
      11.154	      1.008	      0.003	      0.165	      0.014	      0.559	
      11.483	      1.098	      0.003	      0.107	      0.014	      0.706	
      10.993	      0.769	      0.003	      0.000	      0.014	      0.367	
      10.434	      0.770	      0.002	      0.000	      0.013	      0.369	
      10.994	      0.803	      0.000	      0.000	      0.010	      0.378	
      10.155	      0.914	      0.000	      0.000	      0.010	      0.406	
      10.103	      0.818	      0.000	      0.000	      0.010	      0.432	
      10.795	      0.773	      0.001	      0.000	      0.011	      0.358	
      10.159	      0.783	      0.000	      0.000	      0.010	      0.366	
      10.763	      0.776	      0.000	      0.000	      0.011	      0.376	
      10.183	      0.781	      0.000	      0.000	      0.010	      0.370	
      10.303	      0.749	      0.000	      0.000	      0.010	      0.418	
      10.966	      0.776	      0.000	      0.000	      0.010	      0.360	
      10.403	      0.998	      0.001	      0.000	      0.012	      0.679	
      10.249	      0.815	      0.000	      0.000	      0.010	      0.545	
      10.487	      0.780	      0.000	      0.000	      0.012	      0.438	
      10.189	      0.776	      0.000	      0.000	      0.010	      0.361	
      10.755	      0.775	      0.000	      0.000	      0.010	      0.366	
       9.980	      0.780	      0.000	      0.000	      0.010	      0.375	
      10.969	      0.899	      0.001	      0.000	      0.012	      0.641	
      11.057	      0.781	      0.000	      0.000	      0.010	      0.377	
      11.426	      0.751	      0.000	      0.000	      0.010	      0.497	
      11.586	      0.784	      0.000	      0.000	      0.020	      0.380	
      11.214	      0.865	      0.000	      0.000	      0.010	      0.609	
      11.334	      0.893	      0.001	      0.000	      0.010	      0.597	
      11.333	      0.798	      0.000	      0.000	      0.010	      0.367	
      10.845	      0.857	      0.001	      0.000	      0.012	      0.474	
      10.479	      0.774	      0.000	      0.000	      0.011	      0.380	
      10.114	      0.802	      0.000	      0.000	      0.011	      0.496	
      10.792	      1.031	      0.001	      0.000	      0.012	      0.420	
      10.638	      0.788	      0.000	      0.000	      0.010	      0.372	
      10.381	      0.774	      0.000	      0.000	      0.010	      0.364	
      10.901	      0.775	      0.000	      0.000	      0.010	      0.369	
      10.189	      0.780	      0.000	      0.000	      0.010	      0.369	
      10.311	      0.782	      0.001	      0.000	      0.015	      0.632	
      10.676	      0.779	      0.000	      0.000	      0.010	      0.378	
      10.494	      0.974	      0.000	      0.000	      0.012	      0.375	
      11.514	      1.199	      0.001	      0.000	      0.011	      0.473	
      11.096	      0.769	      0.000	      0.000	      0.010	      0.516	
      10.315	      0.876	      0.000	      0.000	      0.010	      0.641	
      11.796	      0.782	      0.000	      0.000	      0.010	      0.477	
      10.800	      0.781	      0.000	      0.000	      0.010	      0.482	
      11.538	      0.881	      0.001	      0.000	      0.010	      0.564	
      10.862	      0.904	      0.001	      0.000	      0.010	      0.372	
      10.564	      0.825	      0.000	      0.000	      0.010	      0.370	
      10.594	      0.770	      0.000	      0.000	      0.010	      0.380	
      10.285	      0.941	      0.000	      0.000	      0.010	      0.373	
      11.185	      0.789	      0.000	      0.000	      0.011	      0.489	
