Values recorded at: 16-Feb-2013 16:18:17

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
       0.171	      2.288	      0.000	      0.001	      0.002	      0.574	
       0.156	      2.372	      0.000	      0.002	      0.003	      0.566	
       0.151	      2.254	      0.000	      0.002	      0.002	      0.565	
       0.148	      2.293	      0.000	      0.002	      0.002	      0.559	
       0.151	      2.143	      0.000	      0.001	      0.002	      0.564	
       0.150	      2.258	      0.000	      0.002	      0.002	      0.564	
       0.149	      2.223	      0.000	      0.001	      0.002	      0.606	
       0.148	      2.332	      0.001	      0.001	      0.003	      0.556	
       0.145	      2.321	      0.000	      0.001	      0.002	      0.556	
       0.149	      2.239	      0.000	      0.002	      0.002	      0.561	
       0.148	      2.246	      0.000	      0.002	      0.002	      0.566	
       0.148	      2.293	      0.000	      0.001	      0.002	      0.561	
       0.161	      2.317	      0.000	      0.002	      0.002	      0.559	
       0.148	      2.246	      0.000	      0.001	      0.002	      0.559	
       0.148	      2.328	      0.000	      0.002	      0.002	      0.564	
       0.147	      2.366	      0.001	      0.002	      0.002	      0.613	
       0.149	      2.254	      0.000	      0.001	      0.002	      0.599	
       0.146	      2.213	      0.000	      0.002	      0.002	      0.558	
       0.148	      2.237	      0.000	      0.002	      0.002	      0.559	
       0.149	      2.258	      0.000	      0.002	      0.002	      0.559	
       0.148	      2.325	      0.000	      0.002	      0.002	      0.555	
       0.151	      2.352	      0.001	      0.002	      0.003	      0.615	
       0.150	      2.362	      0.000	      0.001	      0.002	      0.559	
       0.148	      2.325	      0.000	      0.001	      0.002	      0.561	
       0.151	      2.369	      0.000	      0.001	      0.002	      0.562	
       0.148	      2.416	      0.000	      0.002	      0.002	      0.556	
       0.096	      1.540	      0.000	      0.001	      0.001	      0.358	
       0.096	      1.488	      0.000	      0.001	      0.001	      0.360	
       0.148	      2.116	      0.000	      0.001	      0.002	      0.567	
       0.148	      2.318	      0.000	      0.001	      0.002	      0.571	
       0.147	      2.312	      0.000	      0.001	      0.002	      0.561	
       0.127	      2.048	      0.000	      0.002	      0.002	      0.482	
       0.125	      1.982	      0.000	      0.002	      0.002	      0.481	
       0.148	      2.263	      0.000	      0.002	      0.003	      0.629	
       0.142	      2.323	      0.000	      0.001	      0.002	      0.552	
       0.148	      2.201	      0.000	      0.002	      0.002	      0.583	
       0.138	      2.130	      0.000	      0.001	      0.002	      0.515	
       0.137	      2.139	      0.000	      0.001	      0.002	      0.519	
       0.136	      2.262	      0.000	      0.001	      0.002	      0.520	
       0.137	      2.157	      0.000	      0.001	      0.002	      0.525	
       0.136	      2.151	      0.000	      0.002	      0.002	      0.521	
       0.137	      2.086	      0.000	      0.001	      0.002	      0.517	
       0.138	      2.106	      0.000	      0.002	      0.002	      0.524	
       0.136	      2.204	      0.000	      0.001	      0.002	      0.517	
       0.153	      2.006	      0.001	      0.001	      0.002	      0.538	
       0.139	      2.092	      0.000	      0.002	      0.002	      0.525	
       0.138	      2.105	      0.000	      0.001	      0.002	      0.536	
       0.140	      2.145	      0.000	      0.001	      0.002	      0.509	
       0.136	      2.072	      0.000	      0.002	      0.002	      0.513	
       0.147	      2.177	      0.000	      0.001	      0.002	      0.522	
       0.136	      2.255	      0.000	      0.002	      0.002	      0.529	
       0.130	      2.162	      0.000	      0.001	      0.002	      0.515	
       0.135	      2.123	      0.000	      0.001	      0.002	      0.567	
       0.138	      2.086	      0.000	      0.001	      0.002	      0.544	
       0.148	      2.273	      0.000	      0.002	      0.002	      0.572	
       0.148	      2.222	      0.000	      0.002	      0.002	      0.561	
       0.160	      2.472	      0.000	      0.002	      0.002	      0.564	
       0.135	      2.086	      0.000	      0.002	      0.002	      0.533	
       0.139	      2.106	      0.000	      0.002	      0.002	      0.526	
       0.140	      2.119	      0.000	      0.001	      0.002	      0.519	
       0.140	      2.098	      0.000	      0.001	      0.002	      0.520	
       0.148	      2.224	      0.000	      0.001	      0.002	      0.558	
       0.147	      2.346	      0.000	      0.001	      0.002	      0.558	
       0.148	      2.228	      0.000	      0.002	      0.002	      0.555	
       0.151	      2.254	      0.000	      0.001	      0.002	      0.570	
       0.149	      2.330	      0.000	      0.002	      0.002	      0.561	
       0.147	      2.339	      0.000	      0.001	      0.002	      0.556	
       0.148	      2.315	      0.000	      0.001	      0.002	      0.559	
       0.149	      2.367	      0.000	      0.002	      0.002	      0.562	
       0.150	      2.424	      0.000	      0.002	      0.002	      0.565	
       0.150	      2.313	      0.000	      0.001	      0.002	      0.560	
       0.095	      1.558	      0.000	      0.001	      0.001	      0.359	
